"","citi6013","inst6013_adacope","MeanOppLP","ssph","lgbtrev2010adj","lgbtrevpercapita","lgbtrevperlgbtcapita","loglgbtrev","logrevperlgbtcap","lgbtrevperlgbtcapita2","loglgbtrevperlgbtcapita2","incomeall","realincall","realincpercapall","incomeno234","realinc_smallno234","realincpercap_smallno234","assetsall","realastall","realastpercapall","assetsno234","realast_smallno234","realastpercap_smallno234"
"citi6013",1,0.633514698090069,0.716462981065596,0.385486700071321,0.203450705512609,0.386568899139684,0.35812140691861,0.336152500537721,0.415498114118018,0.358010686311403,0.401675374631518,0.175300606643672,0.1823960289449,0.339565244781377,0.165256756184223,0.170055392500797,0.161871790303844,0.172222616068505,0.178498799630684,0.176558150673372,0.114621691140322,0.116519959929751,0.0480340498750321
"inst6013_adacope",0.633514698090069,1,0.465975794297943,0.354771320972237,0.122103217331262,0.275844524002101,0.263750203876019,0.250704574942131,0.271295917430533,0.263652997009256,0.300662186991561,0.15279288144452,0.151022673756178,0.288900246012014,0.161395500430665,0.158455373236536,0.154173858704111,0.168899001679504,0.165015576974126,0.191724275496655,0.1635507070976,0.156993180482976,0.0988605692992852
"MeanOppLP",0.716462981065596,0.465975794297943,1,0.619510640009307,0.27116917310779,0.405917252868309,0.38493549475277,0.409982236432382,0.463975579897574,0.3847927542887,0.467785844909969,0.278468683319378,0.291634092721952,0.448765613206727,0.274111196161563,0.285402548943799,0.286604274922883,0.297456302231525,0.309981110524782,0.32700482227265,0.250927348995895,0.257565439638756,0.176478467154725
"ssph",0.385486700071321,0.354771320972237,0.619510640009307,1,0.271234543982316,0.385407835030009,0.353067698789437,0.50327290605068,0.37013496169325,0.352833192470348,0.527853529986629,0.333527290534071,0.346524636250676,0.455921653930573,0.299614716226192,0.312196672542685,0.262726014707777,0.317461343950615,0.330879725720038,0.318068466752085,0.254141898242848,0.261861218812244,0.175543327009718
"lgbtrev2010adj",0.203450705512609,0.122103217331262,0.27116917310779,0.271234543982316,1,0.782995637917512,0.766123014608208,0.301709399698236,0.497879044204858,0.766173154930437,0.349205371389707,0.837126493030955,0.832917459389658,0.691508253794501,0.818107642386355,0.814218642196749,0.510115222489419,0.796835209499972,0.797284886270634,0.440074791001622,0.574011588138141,0.569868045051081,0.180970022365179
"lgbtrevpercapita",0.386568899139684,0.275844524002101,0.405917252868309,0.385407835030009,0.782995637917512,1,0.992298245684899,0.44977553571521,0.773110849323329,0.992302598072042,0.578742781863125,0.636984800078774,0.633993923285128,0.72171788920824,0.642865749408231,0.638888618598438,0.532111771225564,0.672158195040126,0.671636120650769,0.535453391369053,0.546345887491032,0.541319548073914,0.291825432766725
"lgbtrevperlgbtcapita",0.35812140691861,0.263750203876019,0.38493549475277,0.353067698789437,0.766123014608208,0.992298245684899,1,0.45849227556172,0.782934581623963,0.999999807515245,0.590381511680618,0.626256826629337,0.623263464993434,0.719294930437219,0.63658211322677,0.632558382446641,0.539889552438781,0.675035402017865,0.674293012378636,0.563614836918944,0.565226268613367,0.56005057882617,0.325218350148471
"loglgbtrev",0.336152500537721,0.250704574942131,0.409982236432382,0.50327290605068,0.301709399698236,0.44977553571521,0.45849227556172,1,0.437122207359125,0.457948564466183,0.965004180491385,0.339303749907871,0.349667147158957,0.41493230576268,0.307473307495946,0.317122618306635,0.314661786620675,0.333553154172971,0.344127154019127,0.313321532172236,0.268107261078725,0.273579272896132,0.187625460017901
"logrevperlgbtcap",0.415498114118018,0.271295917430533,0.463975579897574,0.37013496169325,0.497879044204858,0.773110849323329,0.782934581623963,0.437122207359125,1,0.782919469630855,0.639287510806364,0.434199724590816,0.438681963100342,0.542895910173274,0.450997287361417,0.457526471688012,0.443661725464876,0.458455239951345,0.464557414033071,0.429695148603662,0.394105946730003,0.395600827043641,0.26148587818833
"lgbtrevperlgbtcapita2",0.358010686311403,0.263652997009256,0.3847927542887,0.352833192470348,0.766173154930437,0.992302598072042,0.999999807515245,0.457948564466183,0.782919469630855,1,0.589906285699995,0.626250117644466,0.623250718942435,0.719247433423821,0.636596755052966,0.63256735694026,0.539855947052771,0.67504094363187,0.674292983854402,0.563581765033955,0.565231803722173,0.560051713427092,0.325192822560172
"loglgbtrevperlgbtcapita2",0.401675374631518,0.300662186991561,0.467785844909969,0.527853529986629,0.349205371389707,0.578742781863125,0.590381511680618,0.965004180491385,0.639287510806364,0.589906285699995,1,0.354725370239169,0.363114585051261,0.474034115680329,0.33838518023677,0.346887063622068,0.36815599492105,0.362869214333429,0.371959566164699,0.368152184460807,0.306948190451792,0.311531047556763,0.22584035826464
"incomeall",0.175300606643672,0.15279288144452,0.278468683319378,0.333527290534071,0.837126493030955,0.636984800078774,0.626256826629337,0.339303749907871,0.434199724590816,0.626250117644466,0.354725370239169,1,0.995807348729031,0.317973868852054,0.898021992403399,0.893625554750399,0.287289283302651,0.907474754211534,0.903432717500748,0.33009914477898,0.652379970798027,0.644882537712014,0.276659621616618
"realincall",0.1823960289449,0.151022673756178,0.291634092721952,0.346524636250676,0.832917459389658,0.633993923285128,0.623263464993434,0.349667147158957,0.438681963100342,0.623250718942435,0.363114585051261,0.995807348729031,1,0.314242441415955,0.894625997474184,0.8977797808954,0.287566093379018,0.904461522145926,0.908062420982159,0.32977662328461,0.640979255929304,0.638039886462931,0.274515080920706
"realincpercapall",0.339565244781377,0.288900246012014,0.448765613206727,0.455921653930573,0.691508253794501,0.72171788920824,0.719294930437219,0.41493230576268,0.542895910173274,0.719247433423821,0.474034115680329,0.317973868852054,0.314242441415955,1,0.339572120598985,0.340201083003308,0.960200693264259,0.232534863535186,0.23184943837003,0.958650671384377,0.202196008034681,0.202347973133463,0.846194881550519
"incomeno234",0.165256756184223,0.161395500430665,0.274111196161563,0.299614716226192,0.818107642386355,0.642865749408231,0.63658211322677,0.307473307495946,0.450997287361417,0.636596755052966,0.33838518023677,0.898021992403399,0.894625997474184,0.339572120598985,1,0.995862988834324,0.355752663856612,0.940540399726016,0.934179728886598,0.394217112646292,0.803633146240262,0.796280695272789,0.380935582619771
"realinc_smallno234",0.170055392500797,0.158455373236536,0.285402548943799,0.312196672542685,0.814218642196749,0.638888618598438,0.632558382446641,0.317122618306635,0.457526471688012,0.63256735694026,0.346887063622068,0.893625554750399,0.8977797808954,0.340201083003308,0.995862988834324,1,0.362946860298907,0.934264648926706,0.935455486098275,0.399149301038155,0.791324884229962,0.789579349993788,0.385395004172878
"realincpercap_smallno234",0.161871790303844,0.154173858704111,0.286604274922883,0.262726014707777,0.510115222489419,0.532111771225564,0.539889552438781,0.314661786620675,0.443661725464876,0.539855947052771,0.36815599492105,0.287289283302651,0.287566093379018,0.960200693264259,0.355752663856612,0.362946860298907,1,0.235714153675926,0.238162742980808,0.978335633107609,0.23666374698467,0.241095581422428,0.901260648270177
"assetsall",0.172222616068505,0.168899001679504,0.297456302231525,0.317461343950615,0.796835209499972,0.672158195040126,0.675035402017865,0.333553154172971,0.458455239951345,0.67504094363187,0.362869214333429,0.907474754211534,0.904461522145926,0.232534863535186,0.940540399726016,0.934264648926706,0.235714153675926,1,0.996040205683384,0.317620073434631,0.877075975332565,0.871473890837199,0.337729430018155
"realastall",0.178498799630684,0.165015576974126,0.309981110524782,0.330879725720038,0.797284886270634,0.671636120650769,0.674293012378636,0.344127154019127,0.464557414033071,0.674292983854402,0.371959566164699,0.903432717500748,0.908062420982159,0.23184943837003,0.934179728886598,0.935455486098275,0.238162742980808,0.996040205683384,1,0.320515839910719,0.865898238126903,0.866057730618765,0.340669063664876
"realastpercapall",0.176558150673372,0.191724275496655,0.32700482227265,0.318068466752085,0.440074791001622,0.535453391369053,0.563614836918944,0.313321532172236,0.429695148603662,0.563581765033955,0.368152184460807,0.33009914477898,0.32977662328461,0.958650671384377,0.394217112646292,0.399149301038155,0.978335633107609,0.317620073434631,0.320515839910719,1,0.348161437917385,0.354159459741321,0.944597428826416
"assetsno234",0.114621691140322,0.1635507070976,0.250927348995895,0.254141898242848,0.574011588138141,0.546345887491032,0.565226268613367,0.268107261078725,0.394105946730003,0.565231803722173,0.306948190451792,0.652379970798027,0.640979255929304,0.202196008034681,0.803633146240262,0.791324884229962,0.23666374698467,0.877075975332565,0.865898238126903,0.348161437917385,1,0.996827601210171,0.479444637112294
"realast_smallno234",0.116519959929751,0.156993180482976,0.257565439638756,0.261861218812244,0.569868045051081,0.541319548073914,0.56005057882617,0.273579272896132,0.395600827043641,0.560051713427092,0.311531047556763,0.644882537712014,0.638039886462931,0.202347973133463,0.796280695272789,0.789579349993788,0.241095581422428,0.871473890837199,0.866057730618765,0.354159459741321,0.996827601210171,1,0.491073161254019
"realastpercap_smallno234",0.0480340498750321,0.0988605692992852,0.176478467154725,0.175543327009718,0.180970022365179,0.291825432766725,0.325218350148471,0.187625460017901,0.26148587818833,0.325192822560172,0.22584035826464,0.276659621616618,0.274515080920706,0.846194881550519,0.380935582619771,0.385395004172878,0.901260648270177,0.337729430018155,0.340669063664876,0.944597428826416,0.479444637112294,0.491073161254019,1
